Dyad,Condition,Role,Node,Strength
dyad13,free,baby,S7,2.95
dyad13,free,baby,S8,6.07
dyad13,free,baby,S9,5.363
dyad13,free,baby,S10,5.483
dyad13,free,baby,S11,4.248
dyad13,free,baby,S12,6.519
dyad13,free,baby,S13,3.89
dyad13,free,baby,S14,5.134
dyad13,free,baby,S15,4.973
dyad13,free,baby,S16,4.114
dyad13,free,baby,S17,1.976
dyad13,free,baby,S18,5.697
dyad13,free,perant,S1,6.213
dyad13,free,perant,S2,5.011
dyad13,free,perant,S3,4.613
dyad13,free,perant,S4,4.249
dyad13,free,perant,S5,5.159
dyad13,free,perant,S6,4.442
dyad13,free,perant,S7,4.295
dyad13,free,perant,S8,5.514
dyad13,free,perant,S9,4.733
dyad13,free,perant,S10,5.994
dyad13,free,perant,S11,7.076
dyad13,free,perant,S12,5.698
dyad13,free,perant,S13,7.955
dyad13,free,perant,S14,7.105
dyad13,free,perant,S15,7.23
dyad13,free,perant,S16,3.701
dyad13,free,perant,S17,6.567
dyad13,free,perant,S18,7.006
dyad13,instruct,baby,S1,3.924
dyad13,instruct,baby,S2,4.832
dyad13,instruct,baby,S3,4.549
dyad13,instruct,baby,S4,8.048
dyad13,instruct,baby,S5,6.907
dyad13,instruct,baby,S6,7.798
dyad13,instruct,baby,S7,5.893
dyad13,instruct,baby,S8,5.438
dyad13,instruct,baby,S9,7.523
dyad13,instruct,baby,S10,2.77
dyad13,instruct,baby,S11,5.154
dyad13,instruct,baby,S12,4.967
dyad13,instruct,baby,S13,8.274
dyad13,instruct,baby,S14,3.541
dyad13,instruct,baby,S15,5.059
dyad13,instruct,baby,S16,4.684
dyad13,instruct,baby,S17,7.495
dyad13,instruct,baby,S18,6.523
dyad13,instruct,perant,S1,7.061
dyad13,instruct,perant,S2,4.869
dyad13,instruct,perant,S3,6.213
dyad13,instruct,perant,S4,4.742
dyad13,instruct,perant,S5,6.28
dyad13,instruct,perant,S6,5.521
dyad13,instruct,perant,S7,5.954
dyad13,instruct,perant,S8,6.893
dyad13,instruct,perant,S9,5.961
dyad13,instruct,perant,S10,3.91
dyad13,instruct,perant,S11,5.159
dyad13,instruct,perant,S12,6.193
dyad13,instruct,perant,S13,5.996
dyad13,instruct,perant,S14,6.963
dyad13,instruct,perant,S15,7.128
dyad13,instruct,perant,S16,7.456
dyad13,instruct,perant,S17,7.09
dyad13,instruct,perant,S18,7.662
dyad19,elicit,baby,S1,4.611
dyad19,elicit,baby,S2,4.916
dyad19,elicit,baby,S3,4.604
dyad19,elicit,baby,S4,2.924
dyad19,elicit,baby,S5,3.975
dyad19,elicit,baby,S6,3.429
dyad19,elicit,baby,S7,3.367
dyad19,elicit,baby,S8,4.487
dyad19,elicit,baby,S9,3.266
dyad19,elicit,baby,S10,5.055
dyad19,elicit,baby,S11,4.021
dyad19,elicit,baby,S12,4.377
dyad19,elicit,baby,S13,4.479
dyad19,elicit,baby,S14,1.454
dyad19,elicit,baby,S15,4.72
dyad19,elicit,baby,S16,1.308
dyad19,elicit,baby,S17,2.417
dyad19,elicit,baby,S18,2.9
dyad19,elicit,perant,S1,2.316
dyad19,elicit,perant,S2,2.509
dyad19,elicit,perant,S3,7.763
dyad19,elicit,perant,S4,4.258
dyad19,elicit,perant,S5,9.038
dyad19,elicit,perant,S6,9.03
dyad19,elicit,perant,S7,4.108
dyad19,elicit,perant,S8,7.457
dyad19,elicit,perant,S9,7.391
dyad19,elicit,perant,S10,4.417
dyad19,elicit,perant,S11,8.183
dyad19,elicit,perant,S12,8.468
dyad19,elicit,perant,S13,6.741
dyad19,elicit,perant,S14,8.547
dyad19,elicit,perant,S15,10.084
dyad19,elicit,perant,S16,9.785
dyad19,elicit,perant,S17,8.448
dyad19,elicit,perant,S18,7.904
dyad19,free,baby,S1,5.0
dyad19,free,baby,S2,4.857
dyad19,free,baby,S3,4.015
dyad19,free,baby,S4,3.907
dyad19,free,baby,S5,1.839
dyad19,free,baby,S6,3.964
dyad19,free,baby,S7,5.158
dyad19,free,baby,S8,4.481
dyad19,free,baby,S9,6.25
dyad19,free,baby,S10,5.21
dyad19,free,baby,S11,4.043
dyad19,free,baby,S12,4.893
dyad19,free,baby,S13,4.487
dyad19,free,baby,S14,3.647
dyad19,free,baby,S15,2.405
dyad19,free,baby,S16,2.334
dyad19,free,baby,S17,4.41
dyad19,free,baby,S18,2.086
